Horodateur,nationality,country,age_group,family_situation,household_income_in_€,travel_frequency,been_to_Japan,Japan_vac_duration,rating_interest_culture_and_history,rating_interest_food,rating_interest_nature_hiking,rating_interest_shopping_and_techno,rating_interest_events_and_festivals,rating_interest_wellness,rating_interest_theme_park,Japan_budget_per_week,Japan_prefered_accomodation,alternative_destination,alt_dest_main_reason,alt_dest_prefered_accomodation,alt_dest_budget_per_week,alt_dest_transportation,trip_prep,booking_trip_channel,most_influencial_reason_to_choose_dest,recomendation_to_improve_attractiveness,most_wanted_pref_to_visit_1,most_wanted_pref_to_visit_2,most_wanted_pref_to_visit_3,most_wanted_pref_to_visit_4,most_wanted_pref_to_visit_5,Japan_most_difficulties_1,Japan_most_difficulties_2,Japan_most_difficulties_3,Japan_most_difficulties_4,Japan_most_difficulties_5,alt_dest_most_difficulties_1,alt_dest_most_difficulties_2,alt_dest_most_difficulties_3,alt_dest_most_difficulties_4,alt_dest_most_difficulties_5
05/10/2025 13:09:39,France,France,35-44,Married_no_kids,1500-1999,Every 2–3 years,"Yes, several times",More than 4 weeks,Essential,Essential,Very important,Slightly important,Moderately important,Slightly important,Not important at all,500-1000,Airbnb / homestay,Thailand,Cost,Airbnb-style rental / apartment,500-1000,Taxi,Influencers,Direct,Cultural,Le Japon est parfait tel qu'il est,Kansai,Tohoku,Shikoku,,,Language,Crowded/Popularity,Translation,,,Language,Transportation,Car rental,,
06/10/2025 13:30:50,France,France,45-54,Relationship_with_kids,1500-1999,Every 2–3 years,"No, but I would like to go",2 weeks,Essential,Essential,Essential,Not important at all,Slightly important,Moderately important,Not important at all,500-1000,Airbnb / homestay,Asia,Cost,Standard hotel (3–4 stars),Less than 500,Public transportation,Books,Online agency,Cultural,"Déjà très attractif pour moi, juste une question de budget",,,,,,Language,Expensive,Translation,,,Expensive,Crowded,Translation,,
06/10/2025 17:20:05,France,France,35-44,Single,1500-1999,Once a year,"No, but I would like to go",3 weeks,Very important,Very important,Very important,Slightly important,Moderately important,Moderately important,Not important at all,Unknown,Ryokan (traditional Japanese inn),South Korea,Cost,Airbnb-style rental / apartment,500-1000,Public transportation,Websites,Platforms,Uniqueness,son prix,,,,,,Language,Car rental,Expensive,,,Language,Car rental,Expensive,,
06/10/2025 19:47:27,France,France,45-54,Single,2000-2499,Every 2–3 years,"No, but I would like to go",1 week,Moderately important,Essential,Essential,Moderately important,Moderately important,Moderately important,Slightly important,1000-1500,Standard hotel (3–4 stars),South Korea,None,Standard hotel (3–4 stars),1000-1500,Public transportation,Books,Online agency,Uniqueness,un guide chatgpt,,,,,,Car rental,Expensive,,,,Transportation,,,,
06/10/2025 20:56:00,France,France,45-54,Married_no_kids,2500-2999,Every 2–3 years,"No, but I would like to go",3 weeks,Very important,Very important,Very important,Not important at all,Not important at all,Very important,Not important at all,Unknown,Ryokan (traditional Japanese inn),Vietnam,Cost,Standard hotel (3–4 stars),500-1000,Public transportation,Websites,Online agency,Nature,Moins cher,Kansai,,,,,Language,Expensive,,,,Language,,,,
06/10/2025 22:41:51,France,Germany,45-54,Relationship_with_kids,7000 and more,Several times a year,"Yes, once",3 weeks,Very important,Very important,Very important,Moderately important,Slightly important,Slightly important,Slightly important,1500-2500,Ryokan (traditional Japanese inn),Europe,Cost,Airbnb-style rental / apartment,500-1000,Rental,Books,Direct,Family,une distance moindre,Kanto,Kansai,Chūgoku,,,Language,,,,,Expensive,Crowded,,,
07/10/2025 08:35:05,France,France,45-54,Relationship_with_kids,6000–6999,Once every 5 years or more,"No, but I would like to go",I don’t know yet / Not sure,Essential,Essential,Essential,Slightly important,Slightly important,Moderately important,Not important at all,Unknown,Ryokan (traditional Japanese inn),Asia,Social,Airbnb-style rental / apartment,1000-1500,Rental,Books,Platforms,Uniqueness,Rien de plus. C’est l’un des pays que nous souhaitons vivement visiter.,,,,,,Car rental,Expensive,Crowded/Popularity,,,Expensive,Crowded,,,
07/10/2025 11:54:42,France,France,25-34,Married_no_kids,5000–5999,Once a year,"No, but I would like to go",3 weeks,Essential,Essential,Essential,Not important at all,Slightly important,Moderately important,Not important at all,1000-1500,Ryokan (traditional Japanese inn),Asia,Cost,Standard hotel (3–4 stars),500-1000,Public transportation,Social,Direct,Cultural,Le prix,Kanto,Kansai,Okinawa,,,Expensive,Crowded/Popularity,Translation,,,Transportation,Expensive,,,
07/10/2025 13:34:11,France,France,45-54,Single,5000–5999,Once a year,"Yes, once",2 weeks,Essential,Very important,Moderately important,Essential,Slightly important,Not important at all,Not important at all,1000-1500,Standard hotel (3–4 stars),USA / Canada,Familiarity,Standard hotel (3–4 stars),1000-1500,Public transportation,Books,Online agency,Cultural,"Plus de personnes parlant anglais là bas, meme si les apps de traduction facilitent la vie.",Kanto,Kansai,,,,Language,Translation,,,,Expensive,Crowded,,,
07/10/2025 16:33:23,France,France,25-34,Single,1500-1999,Every 2–3 years,"No, but I would like to go",2 weeks,Very important,Essential,Very important,Essential,Very important,Very important,Moderately important,1500-2500,Standard hotel (3–4 stars),South Korea,Social,Standard hotel (3–4 stars),1500-2500,Public transportation,Books,Direct,Food,"s'il était plus facile de communiquer avec les gens sur place. Sans parler du tout japonais, j'ai l'impression que ça rend les choses plus difficiles",Kanto,Kansai,Hokkaido,Okinawa,Chūbu,Language,,,,,Language,,,,
